id,text,label
1,"Опыт работы: Python, машинное обучение, анализ данных","Data Scientist"
2,"Опыт работы: статистика, визуализация, SQL","Data Scientist"
3,"Опыт работы: глубокое обучение, PyTorch","Data Scientist"
4,"Опыт работы: аналитика данных, Power BI","Data Scientist"
5,"Опыт работы: прогнозирование, модели регрессии","Data Scientist"
6,"Опыт работы: продажи, переговоры, CRM","Sales Manager"
7,"Опыт работы: управление клиентами, B2B","Sales Manager"
8,"Опыт работы: маркетинг, продвижение продукта","Sales Manager"
9,"Опыт работы: заключение сделок, переговоры","Sales Manager"
10,"Опыт работы: развитие бизнеса, продажи","Sales Manager"
11,"Опыт работы: дизайн интерфейсов, UX/UI","Designer"
12,"Опыт работы: графический дизайн, Photoshop","Designer"
13,"Опыт работы: Figma, прототипирование","Designer"
14,"Опыт работы: брендинг, визуальная айдентика","Designer"
15,"Опыт работы: веб-дизайн, адаптивные макеты","Designer"
16,"Опыт работы: подбор персонала, рекрутинг","HR Specialist"
17,"Опыт работы: обучение сотрудников, HR","HR Specialist"
18,"Опыт работы: кадровое делопроизводство","HR Specialist"
19,"Опыт работы: корпоративная культура","HR Specialist"
20,"Опыт работы: управление персоналом","HR Specialist"
21,"Опыт работы: управление проектами, Agile","Project Manager"
22,"Опыт работы: Scrum, Kanban","Project Manager"
23,"Опыт работы: планирование задач, Jira","Project Manager"
24,"Опыт работы: контроль сроков, проекты","Project Manager"
25,"Опыт работы: коммуникация с заказчиком","Project Manager"
26,"Опыт работы: Python, Pandas, NumPy","Data Scientist"
27,"Опыт работы: SQL, базы данных","Data Scientist"
28,"Опыт работы: машинное обучение, классификация","Data Scientist"
29,"Опыт работы: визуализация данных, Tableau","Data Scientist"
30,"Опыт работы: статистический анализ","Data Scientist"
31,"Опыт работы: продажи, B2C","Sales Manager"
32,"Опыт работы: переговоры, заключение контрактов","Sales Manager"
33,"Опыт работы: маркетинговые кампании","Sales Manager"
34,"Опыт работы: управление отделом продаж","Sales Manager"
35,"Опыт работы: развитие клиентской базы","Sales Manager"
36,"Опыт работы: UX исследования","Designer"
37,"Опыт работы: Adobe Illustrator","Designer"
38,"Опыт работы: дизайн мобильных приложений","Designer"
39,"Опыт работы: визуальные концепции","Designer"
40,"Опыт работы: графический контент","Designer"
41,"Опыт работы: рекрутинг IT специалистов","HR Specialist"
42,"Опыт работы: адаптация сотрудников","HR Specialist"
43,"Опыт работы: HR аналитика","HR Specialist"
44,"Опыт работы: мотивация персонала","HR Specialist"
45,"Опыт работы: кадровая политика","HR Specialist"
46,"Опыт работы: управление проектами в IT","Project Manager"
47,"Опыт работы: планирование ресурсов","Project Manager"
48,"Опыт работы: контроль бюджета","Project Manager"
49,"Опыт работы: управление командой","Project Manager"
50,"Опыт работы: внедрение Agile","Project Manager"

